step,answer,evidence,format,total,total_std,zero_std,finish,search,search_rate,ev_f1,ev_nz,kl
248,0.6875,0.5125,1.0,1.044,0.6075,0.5,1.0,1.0,1.0,0.5125,1.0,0.01586
249,0.75,0.5844,1.0,1.142,0.4704,0.5,1.0,1.0,1.0,0.5844,1.0,0.01884
250,0.625,0.5531,1.0,1.002,0.6192,0.375,1.0,1.0,1.0,0.5531,1.0,0.01822
251,0.2188,0.4031,1.0,0.5203,0.511,0.75,1.0,1.0,1.0,0.4031,1.0,0.01787
252,0.5938,0.5344,1.0,0.9609,0.5323,0.5,1.0,1.0,1.0,0.5344,1.0,0.01755
253,0.4688,0.5658,1.0,0.8516,0.5539,0.5,1.0,1.0,1.0,0.5658,1.0,0.02052
254,0.6875,0.8146,1.0,1.195,0.4672,0.375,1.0,1.0,1.0,0.8146,1.0,0.019
255,0.4688,0.5609,1.0,0.8492,0.557,0.5,1.0,1.0,1.0,0.5609,1.0,0.02066
256,0.6562,0.6013,1.0,1.057,0.632,0.75,1.0,1.0,1.0,0.6013,1.0,0.01819
257,0.6875,0.6062,1.0,1.091,0.5101,0.625,1.0,1.0,1.0,0.6062,1.0,0.01705
258,0.6875,0.4583,1.0,1.017,0.5188,0.5,1.0,1.0,1.0,0.4583,1.0,0.01928
259,0.8438,0.7781,1.0,1.333,0.4297,0.75,1.0,1.0,1.0,0.7781,1.0,0.01789
260,0.5,0.474,1.0,0.837,0.5525,0.5,1.0,1.0,1.0,0.474,1.0,0.02031
261,0.5938,0.7937,1.0,1.091,0.5138,0.375,1.0,1.0,1.0,0.7937,1.0,0.01671
262,0.6562,0.7292,1.0,1.121,0.4762,0.5,1.0,1.0,1.0,0.7292,1.0,0.0188
263,0.5312,0.5281,1.0,0.8953,0.5926,0.625,1.0,1.0,1.0,0.5281,1.0,0.01643
264,0.4688,0.5948,1.0,0.8661,0.5926,0.625,1.0,1.031,1.0,0.5948,1.0,0.02034
265,0.3125,0.4219,1.0,0.6234,0.528,0.375,1.0,1.0,1.0,0.4219,1.0,0.01557
266,0.5312,0.5744,1.0,0.9185,0.5795,0.25,1.0,1.0,1.0,0.5744,1.0,0.015
267,0.4062,0.5302,1.0,0.7714,0.638,0.5,1.0,1.0,1.0,0.5302,1.0,0.01791
268,0.5312,0.5485,1.0,0.9055,0.5938,0.25,1.0,1.0,1.0,0.5485,1.0,0.01823
269,0.5938,0.626,1.0,1.007,0.5317,0.5,1.0,1.0,1.0,0.626,1.0,0.01375
270,0.7188,0.7,0.9688,1.166,0.5101,0.25,0.9688,1.0,1.0,0.7,0.9688,0.01733
271,0.6562,0.5607,1.0,1.037,0.4517,0.25,1.0,1.0,1.0,0.5607,1.0,0.01396
272,0.5625,0.4688,1.0,0.8969,0.6201,0.875,1.0,1.0,1.0,0.4688,1.0,0.01472
273,0.6562,0.4365,1.0,0.9745,0.5526,0.375,1.0,1.0,1.0,0.4365,1.0,0.01453
274,0.625,0.5865,1.0,1.018,0.5511,0.5,1.0,1.0,1.0,0.5865,1.0,0.01563
275,0.625,0.5771,1.0,1.014,0.5754,0.375,1.0,1.0,1.0,0.5771,1.0,0.01486
276,0.625,0.4625,1.0,0.9563,0.493,0.75,1.0,1.0,1.0,0.4625,1.0,0.01451
277,0.7188,0.625,1.0,1.131,0.4643,0.625,1.0,1.0,1.0,0.625,1.0,0.01475
278,0.5625,0.625,1.0,0.975,0.5449,0.625,1.0,1.0,1.0,0.625,1.0,0.01518
279,0.7188,0.7461,1.0,1.192,0.5112,0.625,1.0,1.0,1.0,0.7461,1.0,0.01419
280,0.375,0.6594,1.0,0.8047,0.5469,0.5,1.0,1.0,1.0,0.6594,1.0,0.0137
281,0.5,0.5813,1.0,0.8906,0.6106,0.5,1.0,1.0,1.0,0.5813,1.0,0.01548
282,0.5312,0.6812,1.0,0.9719,0.5542,0.375,1.0,1.0,1.0,0.6812,1.0,0.01375
283,0.625,0.4969,1.0,0.9734,0.6192,0.75,1.0,1.0,1.0,0.4969,1.0,0.01405
284,0.5938,0.6938,1.0,1.041,0.5086,0.625,1.0,1.0,1.0,0.6938,1.0,0.01573
285,0.4375,0.5094,1.0,0.7922,0.5724,0.625,1.0,1.0,1.0,0.5094,1.0,0.01657
286,0.2188,0.5121,1.0,0.5748,0.5623,0.5,1.0,1.0,1.0,0.5121,0.9688,0.0132
287,0.7812,0.8,1.0,1.281,0.3954,0.625,1.0,1.0,1.0,0.8,1.0,0.0138
288,0.625,0.6518,1.0,1.051,0.5776,0.375,1.0,1.0,1.0,0.6518,1.0,0.01523
289,0.5938,0.6369,1.0,1.012,0.509,0.375,1.0,1.0,1.0,0.6369,1.0,0.01297
290,0.6562,0.5094,1.0,1.011,0.4382,0.25,1.0,1.0,1.0,0.5094,1.0,0.01469
291,0.5312,0.6418,1.0,0.9522,0.6054,0.75,1.0,1.0,1.0,0.6418,1.0,0.0149
292,0.625,0.4906,1.0,0.9703,0.5773,0.75,1.0,1.0,1.0,0.4906,1.0,0.01571
293,0.7188,0.7937,1.0,1.216,0.4644,0.375,1.0,1.0,1.0,0.7937,1.0,0.01472
294,0.8125,0.7219,1.0,1.273,0.4393,0.75,1.0,1.0,1.0,0.7219,1.0,0.01482
295,0.8438,0.7771,1.0,1.332,0.3351,0.625,1.0,1.0,1.0,0.7771,1.0,0.01696
296,0.4375,0.6757,1.0,0.8753,0.5678,0.25,1.0,1.0,1.0,0.6757,0.9688,0.01361
297,0.4688,0.4521,1.0,0.7948,0.6011,0.625,1.0,1.0,1.0,0.4521,1.0,0.0152
298,0.7188,0.6844,1.0,1.161,0.5606,0.625,1.0,1.0,1.0,0.6844,1.0,0.01664
299,0.5938,0.5375,1.0,0.9625,0.5643,0.5,1.0,1.0,1.0,0.5375,1.0,0.01462
300,0.6562,0.5531,1.0,1.033,0.5937,0.625,1.0,1.0,1.0,0.5531,1.0,0.01766
301,0.3125,0.5668,1.0,0.6959,0.5299,0.25,1.0,1.0,1.0,0.5668,1.0,0.01806
302,0.5,0.5484,1.0,0.8742,0.6138,0.25,1.0,1.0,1.0,0.5484,1.0,0.01527
303,0.4375,0.5813,0.9688,0.825,0.5228,0.375,0.9688,0.9688,0.9688,0.5813,0.9688,0.01509
304,0.7188,0.5062,1.0,1.072,0.5318,0.625,1.0,1.0,1.0,0.5062,1.0,0.01597
305,0.75,0.6938,1.0,1.197,0.4392,0.375,1.0,1.0,1.0,0.6938,1.0,0.01712
306,0.6562,0.626,1.0,1.069,0.5417,0.25,1.0,1.0,1.0,0.626,1.0,0.01636
307,0.375,0.5923,1.0,0.7711,0.5416,0.25,1.0,1.0,1.0,0.5923,1.0,0.01704
308,0.7812,0.575,1.0,1.169,0.4206,0.25,1.0,1.0,1.0,0.575,1.0,0.01889
309,0.4375,0.3344,1.0,0.7047,0.5422,0.25,1.0,1.0,1.0,0.3344,1.0,0.02005
310,0.6562,0.5865,1.0,1.049,0.5061,0.375,1.0,1.0,1.0,0.5865,1.0,0.01935
311,0.4688,0.5323,1.0,0.8349,0.5311,0.375,1.0,1.0,1.0,0.5323,1.0,0.01922
312,0.6562,0.4482,1.0,0.9804,0.5533,0.375,1.0,1.0,1.0,0.4482,1.0,0.01717
313,0.4062,0.5427,1.0,0.7776,0.564,0.625,1.0,1.0,1.0,0.5427,1.0,0.02025
314,0.7812,0.7231,1.0,1.243,0.4519,0.25,1.0,1.0,1.0,0.7231,1.0,0.02133
315,0.5,0.5698,1.0,0.8849,0.5184,0.5,1.0,1.0,1.0,0.5698,1.0,0.01904
316,0.6875,0.5491,1.0,1.062,0.5119,0.25,1.0,1.031,1.0,0.5491,1.0,0.023
317,0.4688,0.501,1.0,0.8193,0.5866,0.625,1.0,1.0,1.0,0.501,1.0,0.01908
318,0.625,0.6583,1.0,1.054,0.5734,0.375,1.0,1.0,1.0,0.6583,1.0,0.02304
319,0.5625,0.5479,1.0,0.9365,0.556,0.5,1.0,1.0,1.0,0.5479,1.0,0.02003
320,0.6562,0.6917,1.0,1.102,0.5419,0.625,1.0,1.0,1.0,0.6917,1.0,0.02192
321,0.3438,0.6271,1.0,0.7573,0.4542,0.375,1.0,1.0,1.0,0.6271,1.0,0.0207
322,0.375,0.5323,1.0,0.7411,0.5796,0.375,1.0,1.0,1.0,0.5323,1.0,0.02186
323,0.5938,0.4632,1.0,0.9254,0.5835,0.375,1.0,1.0,1.0,0.4632,1.0,0.02029
324,0.5,0.6996,1.0,0.9498,0.6187,0.5,1.0,1.0,1.0,0.6996,1.0,0.01841
325,0.4688,0.7354,1.0,0.9365,0.5329,0.25,1.0,1.0,1.0,0.7354,1.0,0.01906
326,0.5312,0.625,1.0,0.9437,0.5828,0.5,1.0,1.0,1.0,0.625,1.0,0.01972
327,0.8438,0.7708,1.0,1.329,0.4192,0.875,1.0,1.0,1.0,0.7708,1.0,0.02078
328,0.6562,0.55,1.0,1.031,0.4646,0.5,1.0,1.0,1.0,0.55,1.0,0.02144
329,0.6562,0.593,1.0,1.053,0.5184,0.375,1.0,1.0,1.0,0.593,1.0,0.02218
330,0.5938,0.5938,1.0,0.9906,0.6404,0.5,1.0,1.0,1.0,0.5938,1.0,0.02171
331,0.6875,0.526,1.0,1.051,0.4718,0.5,1.0,1.0,1.0,0.526,1.0,0.02054
332,0.6562,0.5708,1.0,1.042,0.6058,0.75,1.0,1.0,1.0,0.5708,1.0,0.02003
333,0.6562,0.5164,1.0,1.014,0.5557,0.375,1.0,1.0,1.0,0.5164,1.0,0.02203
334,0.5938,0.7896,1.0,1.089,0.5306,0.375,1.0,1.0,1.0,0.7896,1.0,0.02262
335,0.5938,0.5865,1.0,0.987,0.6026,0.375,1.0,1.0,1.0,0.5865,1.0,0.02547
336,0.8438,0.6062,1.0,1.247,0.4237,0.375,1.0,1.0,1.0,0.6062,1.0,0.0206
337,0.4375,0.6865,1.0,0.8807,0.5315,0.125,1.0,1.0,1.0,0.6865,1.0,0.02123
338,0.6562,0.7737,1.0,1.143,0.4853,0.25,1.0,1.0,1.0,0.7737,1.0,0.02332
339,0.75,0.4813,1.0,1.091,0.4711,0.5,1.0,1.0,1.0,0.4813,0.9688,0.02359
340,0.5938,0.7094,1.0,1.048,0.6224,0.375,1.0,1.0,1.0,0.7094,1.0,0.02173
341,0.6562,0.7359,1.0,1.124,0.5218,0.375,1.0,1.0,1.0,0.7359,1.0,0.0204
342,0.9062,0.574,1.0,1.293,0.3275,0.375,1.0,1.0,1.0,0.574,1.0,0.02472
343,0.5625,0.5171,1.0,0.9211,0.6015,0.5,1.0,1.0,1.0,0.5171,1.0,0.02249
344,0.6875,0.5229,1.0,1.049,0.4663,0.5,1.0,1.062,1.0,0.5229,0.9688,0.02393
345,0.5312,0.5969,1.0,0.9297,0.6077,0.75,1.0,1.0,1.0,0.5969,1.0,0.02278
346,0.5938,0.5835,1.0,0.9855,0.5634,0.625,1.0,1.0,1.0,0.5835,1.0,0.02092
347,0.8125,0.7793,1.0,1.302,0.456,0.5,1.0,1.0,1.0,0.7793,1.0,0.01871
348,0.6875,0.6719,1.0,1.123,0.5053,0.625,1.0,1.0,1.0,0.6719,1.0,0.02051
349,0.4688,0.3537,1.0,0.7456,0.62,0.625,1.0,1.0,1.0,0.3537,1.0,0.02076
350,0.7188,0.599,0.9688,1.115,0.5143,0.25,0.9688,1.031,1.0,0.599,0.9688,0.02095
351,0.4688,0.7656,1.0,0.9516,0.5298,0.625,1.0,1.0,1.0,0.7656,1.0,0.0199
352,0.1875,0.4594,1.0,0.5172,0.5187,0.75,1.0,1.0,1.0,0.4594,1.0,0.02024
353,0.5625,0.6156,0.9688,0.9672,0.6053,0.375,0.9688,1.031,1.0,0.6156,0.9688,0.02014
354,0.5,0.6781,1.0,0.9391,0.6142,0.375,1.0,1.0,1.0,0.6781,1.0,0.01803
355,0.6875,0.6792,1.0,1.127,0.5131,0.75,1.0,1.0,1.0,0.6792,1.0,0.02091
356,0.6562,0.5808,1.0,1.047,0.5694,0.625,1.0,1.0,1.0,0.5808,1.0,0.01857
357,0.5938,0.649,1.0,1.018,0.5423,0.75,1.0,1.0,1.0,0.649,1.0,0.01751
358,0.4062,0.6531,1.0,0.8328,0.5386,0.625,1.0,1.0,1.0,0.6531,1.0,0.0171
359,0.625,0.675,1.0,1.062,0.5678,0.5,1.0,1.0,1.0,0.675,1.0,0.01624
360,0.8438,0.7219,1.0,1.305,0.4729,0.5,1.0,1.0,1.0,0.7219,0.9688,0.01708
361,0.6562,0.6302,1.0,1.071,0.4959,0.75,1.0,1.0,1.0,0.6302,1.0,0.01306
362,0.625,0.5923,1.0,1.021,0.5388,0.25,1.0,1.0,1.0,0.5923,1.0,0.01668
363,0.6875,0.4427,1.0,1.009,0.5434,0.75,1.0,1.0,1.0,0.4427,1.0,0.01444
364,0.875,0.6205,1.0,1.285,0.4391,0.5,1.0,1.0,1.0,0.6205,1.0,0.01397
365,0.7188,0.4982,1.0,1.068,0.5416,0.5,1.0,1.0,1.0,0.4982,1.0,0.01477
366,0.5312,0.5375,1.0,0.9,0.6096,0.5,1.0,1.0,1.0,0.5375,1.0,0.01215
367,0.875,0.6625,1.0,1.306,0.3431,0.75,1.0,1.0,1.0,0.6625,1.0,0.01498
368,0.25,0.5,1.0,0.6,0.478,0.375,1.0,1.0,1.0,0.5,1.0,0.01351
369,0.2812,0.3663,1.0,0.5644,0.5896,0.375,1.0,1.0,1.0,0.3663,1.0,0.01612
370,0.5312,0.6802,1.0,0.9714,0.5472,0.5,1.0,1.0,1.0,0.6802,1.0,0.01806
371,0.5625,0.7558,1.0,1.04,0.5559,0.625,1.0,1.0,1.0,0.7558,1.0,0.01663
372,0.5938,0.5676,1.0,0.9775,0.6128,0.5,1.0,1.0,1.0,0.5676,1.0,0.01767
373,0.7812,0.5833,1.0,1.173,0.4558,0.625,1.0,1.0,1.0,0.5833,1.0,0.01621
374,0.9375,0.7677,1.0,1.421,0.3084,0.5,1.0,1.0,1.0,0.7677,1.0,0.01601
375,0.6562,0.7132,1.0,1.113,0.5168,0.5,1.0,1.0,1.0,0.7132,1.0,0.01655
376,0.625,0.6094,1.0,1.03,0.5242,0.875,1.0,1.0,1.0,0.6094,1.0,0.0183
377,0.5938,0.6562,1.0,1.022,0.5119,0.75,1.0,1.0,1.0,0.6562,1.0,0.01652
378,0.625,0.5656,1.0,1.008,0.6441,0.5,1.0,1.0,1.0,0.5656,1.0,0.01297
379,0.4375,0.4891,1.0,0.7821,0.574,0.625,1.0,1.0,1.0,0.4891,1.0,0.01594
380,0.9375,0.699,1.0,1.387,0.2699,0.625,1.0,1.0,1.0,0.699,1.0,0.01566
381,0.4375,0.5094,1.0,0.7922,0.4835,0.375,1.0,1.0,1.0,0.5094,1.0,0.01578
382,0.3125,0.6,1.0,0.7125,0.5463,0.625,1.0,1.0,1.0,0.6,1.0,0.01386
383,0.75,0.6927,1.0,1.196,0.4899,0.625,1.0,1.0,1.0,0.6927,1.0,0.0129
384,0.875,0.7188,1.0,1.334,0.3449,0.625,1.0,1.0,1.0,0.7188,1.0,0.01346
385,0.5,0.5348,1.0,0.8674,0.5514,0.5,1.0,1.0,1.0,0.5348,1.0,0.01308
386,0.8125,0.686,1.0,1.256,0.4549,0.625,1.0,1.0,1.0,0.686,1.0,0.01453
387,0.5625,0.5031,0.9688,0.9109,0.5946,0.25,0.9688,0.9688,0.9688,0.5031,0.9688,0.01345
388,0.4062,0.5531,1.0,0.7828,0.5647,0.625,1.0,1.0,1.0,0.5531,1.0,0.01292
389,0.9375,0.7312,1.0,1.403,0.2747,0.625,1.0,1.0,1.0,0.7312,1.0,0.0117
390,0.6562,0.5887,1.0,1.051,0.4982,0.5,1.0,1.0,1.0,0.5887,1.0,0.01139
391,0.7188,0.4839,1.0,1.061,0.6009,0.75,1.0,1.0,1.0,0.4839,1.0,0.01363
392,0.5312,0.7115,1.0,0.987,0.5325,0.75,1.0,1.0,1.0,0.7115,1.0,0.01316
393,0.7188,0.699,1.0,1.168,0.4857,0.25,1.0,1.0,1.0,0.699,1.0,0.01366
394,0.4688,0.7302,1.0,0.9339,0.5608,0.5,1.0,1.0,1.0,0.7302,1.0,0.0113
395,0.5625,0.6302,1.0,0.9776,0.6329,0.75,1.0,1.0,1.0,0.6302,1.0,0.01412
396,0.7188,0.6318,1.0,1.135,0.4388,0.75,1.0,1.0,1.0,0.6318,1.0,0.01359
397,0.5,0.4604,1.0,0.8302,0.6301,0.75,1.0,1.0,1.0,0.4604,1.0,0.01441
398,0.5938,0.5802,1.0,0.9839,0.5036,0.625,1.0,1.0,1.0,0.5802,1.0,0.01495
399,0.7188,0.7583,1.0,1.198,0.5537,0.75,1.0,1.0,1.0,0.7583,1.0,0.01474
